time,read_ops,read_ops_per_sec,avg_read_latency,write_ops,write_ops_per_sec,avg_write_latency,read_errors,write_errors,memtable_size
8.485944875,95391,11241.0581738548,17097,95945,11306.342595113783, 175, 0, 0, 197704
8.587038041,95455,11116.172950933362,17304,96009,11180.688794156002, 175, 0, 0, 200636
8.688450041,95504,10992.064125284185,17488,96062,11056.287317840608, 175, 0, 0, 203060
8.788786625,95561,10873.059510646613,17680,96128,10937.573535641503, 175, 0, 0, 206080
8.889973458,95613,10755.150220832076,17874,96177,10818.592479986683, 175, 0, 0, 208322
8.990932791,95672,10640.942627862649,18074,96259,10706.230625631644, 174, 0, 0, 212070
9.091845208,95734,10529.655731023968,18287,96338,10596.088890210238, 174, 0, 0, 215694
9.192855416,95785,10419.50467678279,18485,96389,10485.207874828171, 174, 0, 0, 218024
9.293800458,95849,10313.219057494854,18697,96435,10376.271842267695, 174, 0, 0, 220130
9.394917583,95920,10209.77556775657,18907,96501,10271.617515263519, 174, 0, 0, 223152
9.4959635,95984,10107.873729716843,19110,96569,10169.478852777815, 174, 0, 0, 226262
9.597311416,96046,10007.594401894523,19312,96644,10069.903518904424, 174, 0, 0, 229692
9.698421333,96109,9909.757134697584,19498,96713,9972.035311656633, 174, 0, 0, 232856
9.799069916,96152,9812.359828457009,19642,96751,9873.488078906774, 174, 0, 0, 234584
9.899997833,96215,9718.688995999904,19846,96810,9778.790019256361, 173, 0, 0, 237290
10.001021958,96274,9626.416220693192,20050,96892,9688.209905638125, 173, 0, 0, 241032
